Place,Horse_name,Jockey_name,Trainer_name,Weight,Distance,Prize,Ground_state
8,dancing all night,brüggemann,,58.0,1500,0,nass
9,ninja fighter,bradik,,68.0,1500,0,nass
1,auendancer,wandt,,56.5,1900,0,nass
2,""" timms pearly """,hellyn,,59.0,1900,0,nass
3,orsella,best,,56.5,1900,0,nass
4,billy boy blue,ganbat,,55.0,1900,0,nass
5,chaudoun,palik,,58.5,1900,0,nass
6,dulce et decorum,gibson,,59.5,1900,0,nass
7,lacado,richter,,61.0,1900,0,nass
8,najade,ermashev,,54.0,1900,0,nass
9,""" kings special """,hofer,,54.0,1900,0,nass
1,war bride,gibson,,60.5,1200,0,trocken
2,""" kunos ritter """,schiergen,,57.5,1200,0,trocken
3,presence,ganbat,,56.0,1200,0,trocken
4,royal bonita,danz,,50.0,1200,0,trocken
5,fashion tycoon,bojko,,56.0,1200,0,trocken
6,sajja,palik,,59.0,1200,0,trocken
7,nantana,best,,58.5,1200,0,trocken
1,world cup,hofer,,57.0,1700,0,trocken
2,big moun (fr),pecheur,,57.0,1700,0,trocken
3,neapel,oppermann,,50.0,1700,0,trocken
4,arizona star,schiergen,,57.0,1700,0,trocken
5,vencedor,hellyn,,57.0,1700,0,trocken
6,victor hugo alezan,best,,57.5,1700,0,trocken
7,seto,bojko,,57.0,1700,0,trocken
8,amor fati,danz,,55.0,1700,0,trocken
9,pretty man,beckmann,,55.0,1700,0,trocken
10,variety show,richter,,55.0,1700,0,trocken
11,pacha,weißmeier,,57.0,1700,0,trocken
12,dorietta,werning,,55.0,1700,0,trocken
13,marconi,ganbat,,54.5,1700,0,trocken
1,guardian angel,gibson,,59.5,2500,0,trocken
2,fresh lady,wagner,,57.5,2500,0,trocken
3,aerobic,richter,,54.5,2500,0,trocken
4,killusty fancy,oppermann,,59.5,2500,0,trocken
5,our passion,ganbat,,54.0,2500,0,trocken
6,boshoevenscarlet,hellyn,,54.0,2500,0,trocken
7,lollobo,pecheur,,52.0,2500,0,trocken
1,belmondo (gb),hofer,,54.0,1200,0,trocken
2,thirsty bear,pecheur,,54.0,1200,0,trocken
3,danon perth (aus),oppermann,,55.0,1200,0,trocken
4,sharp bullet,richter,,54.0,1200,0,trocken
5,mi dica,bojko,,52.5,1200,0,trocken
6,choice words,hellyn,,54.5,1200,0,trocken
7,chairlady,best,,53.0,1200,0,trocken
8,therrana,weißmeier,,51.0,1200,0,trocken
1,cool arrogance,ganbat,,57.5,2500,0,trocken
2,true lies,wandt,,56.0,2500,0,trocken
3,al punto,hofer,,61.5,2500,0,trocken
4,chilworth lass,weißmeier,,58.0,2500,0,trocken
5,overclass,schiergen,,56.0,2500,0,trocken
6,pyrido,richter,,59.5,2500,0,trocken
7,site sentry,oppermann,,58.5,2500,0,trocken
